Accident Index,Timestamp,Year,severity,Casualties,Number of Casualties,Number of Vehicles,url,apiUrl,Latitude,Longitude
201643P261066,"11:36am, 26th June 2016",2016,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201643P261066/,https://api.cyclestreets.net/v2/collisions.location?id=201643P261066,51.737972,-1.234531
201543P025085,"12:44pm, 1st August 2015",2015,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P025085/,https://api.cyclestreets.net/v2/collisions.location?id=201543P025085,51.784143,-1.288896
201543P042095,"10:22pm, 6th September 2015",2015,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P042095/,https://api.cyclestreets.net/v2/collisions.location?id=201543P042095,51.749162,-1.24202
201543P049125,"5:45pm, 3rd December 2015",2015,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P049125/,https://api.cyclestreets.net/v2/collisions.location?id=201543P049125,51.762984,-1.260712
201543P089095,"3:40pm, 9th September 2015",2015,serious,Cyclist,2,3,https://www.cyclestreets.net/collisions/reports/201543P089095/,https://api.cyclestreets.net/v2/collisions.location?id=201543P089095,51.749634,-1.231553
201543P113055,"6:00pm, 13th May 2015",2015,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P113055/,https://api.cyclestreets.net/v2/collisions.location?id=201543P113055,51.746306,-1.236868
201543P116065,"4:20pm, 11th June 2015",2015,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P116065/,https://api.cyclestreets.net/v2/collisions.location?id=201543P116065,51.765567,-1.26109
201543P126115,"5:09pm, 4th November 2015",2015,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P126115/,https://api.cyclestreets.net/v2/collisions.location?id=201543P126115,51.727243,-1.1962
201543P146045,"6:52am, 13th April 2015",2015,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P146045/,https://api.cyclestreets.net/v2/collisions.location?id=201543P146045,51.750319,-1.244246
201543P151095,"7:11am, 2nd September 2015",2015,serious,Cyclist,1,1,https://www.cyclestreets.net/collisions/reports/201543P151095/,https://api.cyclestreets.net/v2/collisions.location?id=201543P151095,51.740019,-1.21076
201543P185125,"1:25pm, 18th December 2015",2015,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P185125/,https://api.cyclestreets.net/v2/collisions.location?id=201543P185125,51.776089,-1.264339
201543P197115,"1:00pm, 13th November 2015",2015,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P197115/,https://api.cyclestreets.net/v2/collisions.location?id=201543P197115,51.767527,-1.231699
201543P201115,"5:37pm, 18th November 2015",2015,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P201115/,https://api.cyclestreets.net/v2/collisions.location?id=201543P201115,51.734875,-1.232296
201543P207015,"7:24am, 22nd January 2015",2015,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P207015/,https://api.cyclestreets.net/v2/collisions.location?id=201543P207015,51.772658,-1.259192
201543P224045,"7:00am, 16th April 2015",2015,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P224045/,https://api.cyclestreets.net/v2/collisions.location?id=201543P224045,51.737963,-1.234358
201543P245085,"11:56am, 26th August 2015",2015,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P245085/,https://api.cyclestreets.net/v2/collisions.location?id=201543P245085,51.739945,-1.21037
201543P249115,"8:22am, 11th November 2015",2015,serious,Cyclist,1,3,https://www.cyclestreets.net/collisions/reports/201543P249115/,https://api.cyclestreets.net/v2/collisions.location?id=201543P249115,51.747423,-1.203359
201543P252085,"7:30am, 28th August 2015",2015,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P252085/,https://api.cyclestreets.net/v2/collisions.location?id=201543P252085,51.723447,-1.213307
201543P253035,"3:19pm, 21st March 2015",2015,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P253035/,https://api.cyclestreets.net/v2/collisions.location?id=201543P253035,51.752069,-1.24794
201543P253055,"4:30am, 23rd May 2015",2015,serious,Cyclist,1,1,https://www.cyclestreets.net/collisions/reports/201543P253055/,https://api.cyclestreets.net/v2/collisions.location?id=201543P253055,51.752951,-1.234235
201543P262045,"8:35pm, 26th April 2015",2015,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P262045/,https://api.cyclestreets.net/v2/collisions.location?id=201543P262045,51.722156,-1.204484
201543P294035,"6:24pm, 6th March 2015",2015,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P294035/,https://api.cyclestreets.net/v2/collisions.location?id=201543P294035,51.775052,-1.268226
201543P295085,"12:09pm, 20th August 2015",2015,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P295085/,https://api.cyclestreets.net/v2/collisions.location?id=201543P295085,51.753364,-1.260797
201543P312055,"1:00am, 7th May 2015",2015,serious,Cyclist,1,1,https://www.cyclestreets.net/collisions/reports/201543P312055/,https://api.cyclestreets.net/v2/collisions.location?id=201543P312055,51.771205,-1.230303
201543P317065,"5:00pm, 23rd June 2015",2015,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P317065/,https://api.cyclestreets.net/v2/collisions.location?id=201543P317065,51.751972,-1.237076
201543P319055,"1:17pm, 30th May 2015",2015,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P319055/,https://api.cyclestreets.net/v2/collisions.location?id=201543P319055,51.757142,-1.259634
201543P338105,"10:00pm, 31st October 2015",2015,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P338105/,https://api.cyclestreets.net/v2/collisions.location?id=201543P338105,51.764572,-1.257281
201543P342115,"6:30pm, 29th November 2015",2015,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P342115/,https://api.cyclestreets.net/v2/collisions.location?id=201543P342115,51.752691,-1.251102
201543P380065,"6:44am, 18th June 2015",2015,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P380065/,https://api.cyclestreets.net/v2/collisions.location?id=201543P380065,51.752744,-1.220491
201443P017034,"8:54pm, 3rd March 2014",2014,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201443P017034/,https://api.cyclestreets.net/v2/collisions.location?id=201443P017034,51.752306,-1.248747
201443P017084,"8:01pm, 4th August 2014",2014,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201443P017084/,https://api.cyclestreets.net/v2/collisions.location?id=201443P017084,51.765136,-1.227681
201443P029124,"7:41am, 2nd December 2014",2014,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201443P029124/,https://api.cyclestreets.net/v2/collisions.location?id=201443P029124,51.730093,-1.202954
201443P037114,"8:15pm, 4th November 2014",2014,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201443P037114/,https://api.cyclestreets.net/v2/collisions.location?id=201443P037114,51.749868,-1.227681
201443P042124,"12:16am, 4th December 2014",2014,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201443P042124/,https://api.cyclestreets.net/v2/collisions.location?id=201443P042124,51.745017,-1.256212
201443P049054,"8:45am, 7th May 2014",2014,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201443P049054/,https://api.cyclestreets.net/v2/collisions.location?id=201443P049054,51.750732,-1.268605
201443P052054,"6:30pm, 7th May 2014",2014,serious,Cyclist,1,3,https://www.cyclestreets.net/collisions/reports/201443P052054/,https://api.cyclestreets.net/v2/collisions.location?id=201443P052054,51.738749,-1.235083
201443P052074,"10:31am, 5th July 2014",2014,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201443P052074/,https://api.cyclestreets.net/v2/collisions.location?id=201443P052074,51.725364,-1.220454
201443P064044,"5:20pm, 9th April 2014",2014,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201443P064044/,https://api.cyclestreets.net/v2/collisions.location?id=201443P064044,51.750385,-1.244925
201443P068084,"10:40pm, 7th August 2014",2014,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201443P068084/,https://api.cyclestreets.net/v2/collisions.location?id=201443P068084,51.750702,-1.245355
201443P071054,"6:20pm, 6th May 2014",2014,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201443P071054/,https://api.cyclestreets.net/v2/collisions.location?id=201443P071054,51.747406,-1.237515
201443P076094,"7:45am, 10th September 2014",2014,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201443P076094/,https://api.cyclestreets.net/v2/collisions.location?id=201443P076094,51.788255,-1.276045
201443P087014,"3:54pm, 10th January 2014",2014,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201443P087014/,https://api.cyclestreets.net/v2/collisions.location?id=201443P087014,51.778167,-1.267451
201443P092114,"12:30pm, 11th November 2014",2014,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201443P092114/,https://api.cyclestreets.net/v2/collisions.location?id=201443P092114,51.753184,-1.291542
201443P094114,"1:45pm, 11th November 2014",2014,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201443P094114/,https://api.cyclestreets.net/v2/collisions.location?id=201443P094114,51.758346,-1.21667
201443P146024,"6:00pm, 14th February 2014",2014,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201443P146024/,https://api.cyclestreets.net/v2/collisions.location?id=201443P146024,51.748976,-1.241255
201443P155104,"8:42am, 15th October 2014",2014,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201443P155104/,https://api.cyclestreets.net/v2/collisions.location?id=201443P155104,51.783331,-1.267933
201443P178024,"6:10am, 19th February 2014",2014,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201443P178024/,https://api.cyclestreets.net/v2/collisions.location?id=201443P178024,51.749126,-1.243541
