Ward,Electoral Ward,Name of Candidate,Party,Votes,Result,Year
Barton and Sandhills,E05006545,ARTWELL Chaka,Independent,237,Not elected,2016
Barton and Sandhills,E05006545,BAXTER Frances,UK Independence Party (UKIP),96,Not elected,2016
Barton and Sandhills,E05006545,HAMER Timothy Stephen,The Conservative Party Candidate,174,Not elected,2016
Barton and Sandhills,E05006545,HITCHINS Raymond Leslie,Green Party,82,Not elected,2016
Barton and Sandhills,E05006545,MALLINDER Barbara Lesley,Liberal Democrat,123,Not elected,2016
Barton and Sandhills,E05006545,ROWLEY Michael Derek,Labour and Co-operative Party,704,Elected,2016
Blackbird Leys,E05006546,BHAGWANDIN Vanessa Elizabeth,The Conservative Party Candidate,48,Not elected,2016
Blackbird Leys,E05006546,BLAKEY Simon Andrew,Liberal Democrat,16,Not elected,2016
Blackbird Leys,E05006546,COLLIER Gregory Gordon William,Trade Unionist and SocialistCoalition,20,Not elected,2016
Blackbird Leys,E05006546,LAWES Joseph,UK Independence Party (UKIP),139,Not elected,2016
Blackbird Leys,E05006546,LEDBURY Matthew,Green Party,31,Not elected,2016
Blackbird Leys,E05006546,SMITH Linda Kay,Labour Party,687,Elected,2016
Carfax,E05006547,CURTIS Alexander James,The Conservative Party Candidate,111,Not elected,2016
Carfax,E05006547,DE VOIL Alasdair Iain,The Official Monster Raving Loony Party,13,Not elected,2016
Carfax,E05006547,HOLLINGSWORTH Alexander J,Labour Party,447,Elected,2016
Carfax,E05006547,PRENDERGAST Katherine Ellen,Green Party,276,Not elected,2016
Carfax,E05006547,SAMUELS Henry Nicholas John,Liberal Democrat,217,Not elected,2016
Churchill,E05006548,COGGINS Peter Charles,Liberal Democrat,85,Not elected,2016
Churchill,E05006548,LYGO Mark,Labour Party,761,Elected,2016
Churchill,E05006548,MCGLYNN Kevin Nicholas,Green Party,130,Not elected,2016
Churchill,E05006548,SELWAY Allan John,The Conservative Party Candidate,144,Not elected,2016
Cowley Marsh,E05006550,BRETT Antony Edwin St.John,Liberal Democrat,112,Not elected,2016
Cowley Marsh,E05006550,DAWE Steven Mark,Green Party,307,Not elected,2016
Cowley Marsh,E05006550,HARLEY Judith Anne,Independent,252,Not elected,2016
Cowley Marsh,E05006550,HATCH Liam,The Conservative Party Candidate,99,Not elected,2016
Cowley Marsh,E05006550,MALIK Sajjad-Hussain,Labour Party,932,Elected,2016
Cowley,E05006549,DAWE Hazel Frances,Green Party,420,Not elected,2016
Cowley,E05006549,DIXON Gary William,The Conservative Party Candidate,210,Not elected,2016
Cowley,E05006549,HENWOOD David,Labour Party,883,Elected,2016
Cowley,E05006549,MURRAY Claire Elizabeth,Liberal Democrat,64,Not elected,2016
Headington Hill and Northway,E05006552,BHAGWANDIN Mark,The Conservative Party Candidate,452,Not elected,2016
Headington Hill and Northway,E05006552,CHAPMAN Nigel,Labour Party,776,Elected,2016
Headington Hill and Northway,E05006552,FAIREY Oliver James,Green Party,112,Not elected,2016
Headington Hill and Northway,E05006552,PEREIRA CABRAL DE AZEVEDO,Liberal Democrat,160,Not elected,2016
Headington Hill and Northway,E05006552,E BOURBON Maria,,,Not elected,2016
Headington,E05006551,DUNCAN Ann Alice,Green Party,134,Not elected,2016
Headington,E05006551,GEARING Anthony Ian,The Conservative Party Candidate,172,Not elected,2016
Headington,E05006551,PONTECORVI Marco,Labour Party,437,Not elected,2016
Headington,E05006551,WILKINSON Ruth Elaine,Liberal Democrat,"1,100",Elected,2016
Hinksey Park,E05006553,CARTER Benjamin Raphael,Green Party,273,Not elected,2016
Hinksey Park,E05006553,DEVA Siddharth,The Conservative Party Candidate,199,Not elected,2016
Hinksey Park,E05006553,HARDING Nicholas John,Liberal Democrat,140,Not elected,2016
Hinksey Park,E05006553,TIDBALL Marie,Labour Party,"1,273",Elected,2016
Holywell,E05006554,ILEY-WILLIAMSON Daniel P,Labour Party,451,Elected,2016
Holywell,E05006554,JOINES Fiona Kelly,Green Party,265,Not elected,2016
Holywell,E05006554,MCKAY Andrew Graham,Liberal Democrat,283,Not elected,2016
Holywell,E05006554,WALKER George,The Conservative Party Candidate,105,Not elected,2016
Iffley Fields,E05006555,BAZLEY Simon James,The Conservative Party Candidate,94,Not elected,2016
Iffley Fields,E05006555,BENJAMIN Elise Danielle,Green Party,961,Not elected,2016
Iffley Fields,E05006555,BERGAMIN Peter Patrick,Liberal Democrat,66,Not elected,2016
Iffley Fields,E05006555,CURRAN Stephen John,Labour Party,"1,015",Elected,2016
Jericho and Osney,E05006556,COOK Colin,Labour Party,"1,007",Elected,2016
Jericho and Osney,E05006556,FIDDAMAN Jason John Richard,The Conservative Party Candidate,183,Not elected,2016
Jericho and Osney,E05006556,MCKENZIE Conor,Liberal Democrat,217,Not elected,2016
Jericho and Osney,E05006556,MUDDIMAN Lois Knight,Green Party,508,Not elected,2016
Littlemore,E05006557,AYRTON Lucy Irene Fitchett,Green Party,205,Not elected,2016
Littlemore,E05006557,BIDWELL Charles James,Liberal Democrat,75,Not elected,2016
Littlemore,E05006557,STAFFORD Daniel,The Conservative Party Candidate,284,Not elected,2016
Littlemore,E05006557,TANNER John Stuart,Labour Party,830,Elected,2016
Lye Valley,E05006558,KENNEDY Patricia,Labour Party,924,Elected,2016
Lye Valley,E05006558,KYESWA Johnson Mackline,The Conservative Party Candidate,216,Not elected,2016
Lye Valley,E05006558,MACHADO Amanda,Liberal Democrat,101,Not elected,2016
Lye Valley,E05006558,PIZEY Tim Peter,Green Party,177,Not elected,2016
Marston,E05006559,HAINES Michael Christopher,,"1,140",Elected,2016
Marston,E05006559,HAYNES Charles William,Independent,78,Not elected,2016
Marston,E05006559,MURRAY Alasdair James,Liberal Democrat,71,Not elected,2016
Marston,E05006559,PATMORE Timothy Douglas,The Conservative Party Candidate,112,Not elected,2016
Marston,E05006559,SHAW Miranda,Green Party,112,Not elected,2016
Marston,E05006559,WALKER Nicholas P,Labour Party,826,Not elected,2016
North,E05006560,EL MOUDEN Claire Margaret,Green Party,174,Not elected,2016
