Ward,Electoral Ward,Name of Candidate,Party,Votes,Result,Year
Northfield Brook,E05006561,FIELDER Rachel Anna,Liberal Democrat,55,Not elected,2014
Northfield Brook,E05006561,JONES Patricia,The Conservative Party Candidate,112,Not elected,2014
Northfield Brook,E05006561,PAYNTER Robert James Henry,Green Party,111,Not elected,2014
Northfield Brook,E05006561,SEAMONS Scott Andrew,The Labour Party Candidate,700,Elected,2014
Quarry and Risinghurst,E05006562,HARBORNE Katharine Mary,The Conservative Party Candidate,415,Not elected,2014
Quarry and Risinghurst,E05006562,ROGERS Rosalind Claire,Liberal Democrat,549,Not elected,2014
Quarry and Risinghurst,E05006562,SINCLAIR Delia,The Labour Party Candidate,941,Elected,2014
Quarry and Risinghurst,E05006562,TAYLOR Elizabeth Leonora,The Green Party,253,Not elected,2014
Rose Hill and Iffley,E05006563,AZIZ Faisal,Liberal Democrat,223,Not elected,2014
Rose Hill and Iffley,E05006563,GRAHAM Patrick Alastair,UKIP,271,Not elected,2014
Rose Hill and Iffley,E05006563,PAULE Michele V A,The Labour Party Candidate,873,Elected,2014
Rose Hill and Iffley,E05006563,SHERWOOD Lilian J,The Conservative Party Candidate,140,Not elected,2014
Rose Hill and Iffley,E05006563,SKINNER Paul B,Green Party,248,Not elected,2014
St. Clement's,E05006564,DAWE Hazel Frances,Green Party,532,Not elected,2014
St. Clement's,E05006564,DEVA Siddharth,The Conservative Party Candidate,129,Not elected,2014
St. Clement's,E05006564,HAYES Thomas John,The Labour Party Candidate,875,Elected,2014
St. Clement's,E05006564,JONES Graham Roderick,Liberal Democrat,148,Not elected,2014
St. Clement's,E05006564,MYLVAGANAM Pathmanathan Sadchatheswaran,Independent,22,Not elected,2014
St. Margaret's,E05006565,CHAPMAN Nigel,The Labour Party Candidate,492,Not elected,2014
St. Margaret's,E05006565,DUNCAN Ann Alice,Green Party,305,Not elected,2014
St. Margaret's,E05006565,PORTER Robert Vernon,The Conservative Party Candidate,409,Not elected,2014
St. Margaret's,E05006565,WADE Elizabeth Picton ,Liberal Democrat,610,Elected,2014
St. Mary's,E05006566,BEARDER Ian Corthan,Liberal Democrat,88,Not elected,2014
St. Mary's,E05006566,HEREN Theodore,The Conservative Party Candidate,116,Not elected,2014
St. Mary's,E05006566,TAYLOR Sian,The Labour Party Candidate,546,Not elected,2014
St. Mary's,E05006566,WOLFF Richard Charles,Green Party,733,Elected,2014
Summertown,E05006567,BICKERS Kenneth Gerald,The Conservative Party Candidate,441,Not elected,2014
Summertown,E05006567,COLENUTT Robert,The Labour Party Candidate,344,Not elected,2014
Summertown,E05006567,EDWARDS Sarah Janet,Green Party Lead Candidate,413,Not elected,2014
Summertown,E05006567,FOOKS Jean Lesley,Liberal Democrat,"1,100",Elected,2014
Summertown,E05006567,GANT Andrew,Liberal Democrat,843,Elected,2014
Summertown,E05006567,LAW Eleanor,The Labour Party Candidate,262,Not elected,2014
Summertown,E05006567,SINSINWAR Arjun Singh,The Conservative Party Candidate,339,Not elected,2014
Summertown,E05006567,TICKELL Oliver Thomas,Green Party Candidate,311,Not elected,2014
Wolvercote,E05006568,CRAWFURD Lee Martin,Green Party,275,Not elected,2014
Wolvercote,E05006568,GODDARD Stephen Howard,Liberal Democrat,971,Elected,2014
Wolvercote,E05006568,TAYLOR Michael Robert,The Labour Party Candidate,250,Not elected,2014
Wolvercote,E05006568,WILLIAMS Thomas Gerard Jeavon Lytton,The Conservative Party Candidate,677,Not elected,2014
