Case Number,Address,Total Number Occupants,Total Number Units,Licence Commenced,Licence Expires
16/04473/HMOADS,79 Dene Road Oxford Oxfordshire OX3 7EQ,4,,15/10/2016,15/10/2017
16/04197/HMOADL,124 Dene Road Oxford Oxfordshire OX3 7EG,5,4,08/10/2016,08/11/2017
16/03414/HMOADL,44 Dene Road Oxford Oxfordshire OX3 7EE,5,5,05/09/2016,05/11/2017
15/02354/HMOADL,46 Dene Road Oxford Oxfordshire OX3 7EE,5,5,30/12/2016,30/12/2017
16/03005/HMOADS,11 Denmark Street Oxford OX4 1QS,4,5,05/07/2016,05/11/2017
17/00973/HMOADL,12 Denmark Street Oxford Oxfordshire OX4 1QS,6,,15/05/2017,14/05/2019
17/00633/HMOADS,6 Monard Terrace Denmark Street Oxford Oxfordshire OX4 1QR,3,3,24/04/2017,24/01/2021
17/00632/HMOADS,3 Monard Terrace Denmark Street Oxford Oxfordshire OX4 1QR,3,3,24/04/2017,24/01/2021
17/00421/HMOADS,1 Monard Terrace Denmark Street Oxford Oxfordshire OX4 1QR,3,3,23/03/2017,24/01/2021
17/00418/HMOADS,7 Monard Terrace Denmark Street Oxford Oxfordshire OX4 1QR,3,3,23/03/2017,24/01/2021
17/00413/HMOADS,2 Monard Terrace Denmark Street Oxford Oxfordshire OX4 1QR,3,3,23/03/2017,24/01/2021
16/01951/HMOADS,10 Denmark Street Oxford OX4 1QS,4,4,03/06/2016,03/10/2017
17/00415/HMOADS,4 Monard Terrace Denmark Street Oxford Oxfordshire OX4 1QR,3,3,23/03/2017,24/01/2021
16/03627/HMOADL,78 Derwent Avenue Oxford Oxfordshire OX3 0AS,5,5,21/08/2016,21/10/2017
17/01245/HMOADL,22 Derwent Avenue Oxford Oxfordshire OX3 0AP,5,,31/05/2017,30/05/2018
17/02276/HMOADL,2 Derwent Avenue Headington Oxford OX3 0AP,5,,16/08/2017,15/08/2018
17/01551/HMOADS,1 Derwent Avenue Oxford Oxfordshire,3,,28/06/2017,27/06/2018
17/02237/HMOADL,36 Derwent Avenue Oxford Oxfordshire OX3 0AP,5,,05/08/2017,04/08/2019
16/00652/HMOADL,88 Derwent Avenue Headington Oxford OX3 0AS,5,5,10/02/2017,10/02/2018
16/00557/HMOADL,8 Derwent Avenue Oxford Oxfordshire OX3 0AP,5,5,03/02/2017,03/02/2018
16/02445/HMOADL,68 Derwent Avenue Oxford Oxfordshire OX3 0AS,5,6,30/06/2016,30/10/2017
13/03873/HMOADL,10 Derwent Avenue Oxford Oxfordshire OX3 0AP,6,,24/12/2016,24/12/2017
16/04520/HMOADS,99 Desborough Crescent Oxford Oxfordshire OX4 4UB,4,,20/10/2016,20/10/2017
16/05316/HMOADL,13 Divinity Road Oxford Oxfordshire OX4 1LH,5,,12/09/2017,11/09/2018
16/06104/HMOLIC,23 Divinity Road Oxford Oxfordshire OX4 1LH,6,,19/04/2017,18/04/2018
16/05944/HMOLIC,155 Divinity Road Oxford Oxfordshire OX4 1LP,6,6,05/02/2017,04/02/2018
16/05775/HMOADL,17 Divinity Road Oxford Oxfordshire OX4 1LH,7,,16/12/2016,15/02/2018
16/05455/HMOADL,140 Divinity Road Oxford Oxfordshire OX4 1LW,5,5,31/12/2016,24/01/2021
17/00069/HMOLIC,30 Divinity Road Oxford Oxfordshire OX4 1LJ,6,6,15/03/2017,15/03/2018
16/05329/HMOADL,3 Divinity Road Oxford Oxfordshire OX4 1LH,5,,03/08/2017,02/08/2018
17/01271/HMOADL,150 Divinity Road Oxford Oxfordshire OX4 1LR,5,,05/07/2017,04/07/2018
16/05290/HMOADL,15 Divinity Road Oxford Oxfordshire OX4 1LH,5,5,19/12/2016,19/12/2017
16/05289/HMOADL,119 Divinity Road Oxford Oxfordshire OX4 1LW,5,,21/08/2017,20/08/2018
16/05285/HMOLIC,117 Divinity Road Oxford OX4 1LW,7,,20/07/2017,19/07/2018
16/05075/HMOADS,179 Divinity Road Oxford Oxfordshire OX4 1LP,4,4,08/12/2016,08/12/2017
16/04895/HMOADL,161 Divinity Road Oxford Oxfordshire OX4 1LP,5,5,11/11/2016,24/01/2021
16/05354/HMOLIC,5 Divinity Road Oxford Oxfordshire OX4 1LH,6,6,24/12/2016,24/03/2018
17/00087/HMOADL,82 Divinity Road Oxford Oxfordshire OX4 1LN,6,,11/03/2017,10/03/2019
17/00529/HMOLIC,31 Divinity Road Oxford Oxfordshire OX4 1LH,8,,07/04/2017,06/04/2018
17/01134/HMOADL,164 Divinity Road Oxford Oxfordshire OX4 1LR,5,,19/05/2017,18/05/2018
17/01351/HMOADL,173 Divinity Road Oxford Oxfordshire OX4 1LP,6,6,14/06/2017,24/01/2021
17/01450/HMOADS,24 Divinity Road Oxford Oxfordshire OX4 1LJ,7,,23/06/2017,22/06/2018
17/02036/HMOADL,132 Divinity Road Oxford OX4 1LW,5,5,18/07/2017,17/07/2018
17/02235/HMOADS,76 Divinity Road Oxford Oxfordshire OX4 1LN,4,,04/08/2017,24/01/2021
17/02260/HMOADS,38 Divinity Road Oxford Oxfordshire OX4 1LJ,4,4,11/08/2017,10/08/2018
17/02537/HMOLIC,16 Divinity Road Oxford Oxfordshire OX4 1LJ,6,,24/08/2017,23/08/2022
17/02588/HMOLIC,33 Divinity Road Oxford Oxfordshire OX4 1LH,8,8,23/08/2017,22/08/2018
16/04881/HMOADL,78 Divinity Road Oxford Oxfordshire OX4 1LN,6,6,19/11/2016,19/11/2017
17/01924/HMOADL,56 Divinity Road Oxford Oxfordshire OX4 1LJ,5,5,27/06/2017,24/01/2021
17/00567/HMOADL,187 Divinity Road Oxford Oxfordshire OX4 1LP,5,,14/04/2017,13/04/2018
16/00591/HMOADL,21 Divinity Road Oxford Oxfordshire OX4 1LH,6,5,30/12/2016,30/12/2017
17/02039/HMOLIC,162 Divinity Road Oxford Oxfordshire OX4 1LR,7,,19/07/2017,18/07/2018
15/05584/HMOLIC,29 Divinity Road Oxford Oxfordshire OX4 1LH,8,,07/04/2017,06/04/2018
16/04867/HMOLIC,44 Divinity Road Oxford Oxfordshire OX4 1LJ,8,8,19/11/2016,19/11/2017
16/00354/HMOADL,41 Divinity Road Oxford Oxfordshire OX4 1LH,5,5,19/12/2016,19/12/2017
16/01695/HMOADS,198 Divinity Road Oxford Oxfordshire OX4 1LS,4,,24/05/2016,24/05/2018
16/01735/HMOLIC,26 Divinity Road Oxford Oxfordshire OX4 1LJ,8,8,24/07/2016,23/02/2018
16/02200/HMOLIC,106 Divinity Road Oxford Oxfordshire OX4 1LW,12,,09/06/2016,09/10/2017
16/02625/HMOLIC,42 Divinity Road Oxford Oxfordshire OX4 1LJ,5,,25/06/2016,25/06/2018
16/02631/HMOADS,27 Divinity Road Oxford Oxfordshire OX4 1LH,6,,07/08/2016,24/01/2021
16/02644/HMOLIC,61 Divinity Road Oxford Oxfordshire OX4 1LH,6,,06/12/2016,06/12/2017
16/02673/HMOADL,9 Divinity Road Oxford OX4 1LH,5,,27/01/2017,27/01/2018
16/03015/HMOLIC,174 Divinity Road Oxford Oxfordshire OX4 1LR,5,6,31/07/2016,31/10/2017
16/03042/HMOLIC,55 Divinity Road Oxford OX4 1LH,8,5,11/07/2016,28/06/2018
16/03213/HMOADL,96 Divinity Road Oxford Oxfordshire OX4 1LN,5,,21/07/2016,21/10/2017
16/04198/HMOADL,10 Divinity Road Oxford Oxfordshire OX4 1LJ,5,,09/10/2016,09/11/2017
16/03327/HMOADL,6 Divinity Road Oxford Oxfordshire OX4 1LJ,5,,17/03/2017,16/03/2018
16/04616/HMOLIC,7 Divinity Road Oxford Oxfordshire OX4 1LH,6,6,10/11/2016,10/04/2018
16/04602/HMOADL,52 Divinity Road Oxford Oxfordshire OX4 1LJ,5,5,28/11/2016,28/11/2018
16/04491/HMOADL,28 Divinity Road Oxford Oxfordshire OX4 1LJ,6,6,17/10/2016,17/11/2017
16/00110/HMOADL,8 Divinity Road Oxford Oxfordshire OX4 1LJ,5,5,19/02/2016,24/01/2021
16/04414/HMOLIC,34 Divinity Road Oxford Oxfordshire OX4 1LJ,5,5,26/10/2016,20/07/2018
16/03966/HMOADL,68 Divinity Road Oxford Oxfordshire OX4 1LJ,7,,23/09/2016,23/09/2017
16/03898/HMOADS,77 Divinity Road Oxford Oxfordshire OX4 1LN,4,4,11/09/2016,11/10/2017
16/04695/HMOLIC,43 Divinity Road Oxford Oxfordshire OX4 1LH,6,,03/01/2017,03/01/2018
16/03636/HMOADL,196 Divinity Road Oxford Oxfordshire OX4 1LS,5,,27/08/2016,27/10/2017
16/03613/HMOLIC,75 Divinity Road Oxford Oxfordshire OX4 1LN,5,,04/04/2017,03/04/2018
16/03562/HMOADL,12 Divinity Road Oxford Oxfordshire OX4 1LJ,5,,06/02/2017,06/02/2018
16/03526/HMOLIC,53 Divinity Road Oxford Oxfordshire OX4 1LH,5,5,15/08/2016,15/11/2017
16/03466/HMOADL,83 Divinity Road Oxford Oxfordshire OX4 1LN,5,5,08/05/2017,07/05/2018
17/02038/HMOADS,7 Dodgson Road Oxford Oxfordshire OX4 3QS,4,,19/07/2017,18/07/2019
16/05071/HMOADS,37 Dodgson Road Oxford Oxfordshire OX4 3QS,4,,14/02/2017,13/02/2018
16/05146/HMOADS,5 Dodgson Road Oxford Oxfordshire OX4 3QS,4,,09/12/2016,09/12/2018
17/01878/HMOADL,14 Dodgson Road Oxford OX4 3QS,5,,12/07/2017,11/07/2019
16/06110/HMOLIC,21 Don Bosco Close Oxford Oxfordshire OX4 2LD,6,,26/01/2017,26/01/2018
16/04969/HMOADL,41 Don Bosco Close Oxford Oxfordshire OX4 2LD,3,,26/11/2016,26/11/2017
16/03316/HMOADL,42 Don Bosco Close Oxford Oxfordshire OX4 2LD,4,,06/01/2017,06/01/2018
16/03621/HMOADL,22 Donnington Bridge Road Oxford Oxfordshire OX4 4AX,6,6,21/08/2016,21/11/2017
16/03984/HMOADL,6 Donnington Bridge Road Oxford Oxfordshire OX4 4AX,5,4,26/09/2016,26/10/2017
16/05195/HMOADL,41 Donnington Bridge Road Oxford Oxfordshire OX4 4AZ,8,4,15/12/2016,14/12/2018
17/01549/HMOADL,65 Donnington Bridge Road Oxford Oxfordshire OX4 4BA,6,6,24/06/2017,23/06/2019
17/02232/HMOLIC,10 Donnington Bridge Road Oxford OX4 4AX,5,,04/08/2017,03/08/2019
17/01083/HMOADS,22 Dorchester Close Oxford Oxfordshire OX3 8SS,4,6,17/05/2017,16/05/2018
17/01138/HMOADL,5 Downside End Oxford Oxfordshire OX3 8JF,5,,06/06/2017,05/06/2018
17/02174/HMOADS,2 Doyley Road Oxford Oxfordshire OX2 0BG,3,,25/07/2017,24/07/2018
15/05437/HMOADS,3 Drove Acre Road Oxford Oxfordshire OX4 3DF,7,,07/04/2017,06/04/2018
16/02199/HMOLIC,16 Drove Acre Road Oxford OX4 3DF,10,10,14/07/2016,14/07/2018
16/03762/HMOADL,12 Drove Acre Road Oxford Oxfordshire OX4 3DF,4,4,22/12/2016,22/12/2017
17/01499/HMOADL,4 Drove Acre Road Oxford OX4 3DF,5,,16/08/2017,15/08/2018
15/03189/HMOLIC,1 Drove Acre Road Oxford Oxfordshire OX4 3DF,14,,22/12/2016,22/12/2017
16/05049/HMOADS,8 Dudgeon Drive Oxford Oxfordshire OX4 4QL,4,,17/02/2017,16/02/2018
16/03332/HMOADS,20 Dynham Place Oxford Oxfordshire OX3 7NL,4,4,29/07/2016,29/10/2017
17/02175/HMOADL,17 Dynham Place Oxford Oxfordshire OX3 7NL,5,5,30/07/2017,29/07/2019
16/04046/HMOADS,24 Dynham Place Oxford Oxfordshire OX3 7NL,4,,27/09/2016,27/11/2017
16/02900/HMOADL,8 Dynham Place Oxford Oxfordshire OX3 7NL,6,6,04/07/2016,04/01/2018
15/02395/HMOADL,6 Dynham Place Oxford Oxfordshire OX3 7NL,8,,18/10/2016,18/10/2017
16/02991/HMOADS,19 Dynham Place Oxford Oxfordshire OX3 7NL,4,,29/09/2016,29/09/2018
16/04450/HMOADS,13 Dynham Place Oxford Oxfordshire OX3 7NL,4,,23/10/2016,23/10/2017
16/03909/HMOADL,21 Earl Street Oxford Oxfordshire OX2 0JA,3,,12/09/2016,12/11/2017
16/05488/HMOADS,3 Earl Street Oxford Oxfordshire OX2 0JA,4,,21/02/2017,21/02/2018
17/01058/HMOADL,40 East Avenue Oxford Oxfordshire OX4 1XP,4,3,18/02/2017,17/02/2019
16/05581/HMOADS,19 East Avenue Oxford Oxfordshire OX4 1XP,4,4,31/01/2017,31/01/2018
16/05606/HMOADL,76 East Avenue Oxford Oxfordshire OX4 1XP,6,,09/02/2017,09/02/2018
16/06006/HMOADL,27 East Avenue Oxford OX4 1XP,5,6,11/02/2017,11/02/2018
16/06074/HMOADS,79 East Avenue Oxford Oxfordshire OX4 1XR,4,,10/01/2017,10/01/2018
16/06204/HMOLIC,98 East Avenue Oxford Oxfordshire OX4 1XR,4,,09/05/2017,09/05/2018
17/00233/HMOADS,49 East Avenue Oxford Oxfordshire OX4 1XP,4,,15/03/2017,14/03/2018
16/05163/HMOADL,58 East Avenue Oxford Oxfordshire OX4 1XP,5,5,04/12/2016,04/01/2018
17/00676/HMOADS,75 East Avenue Oxford Oxfordshire OX4 1XR,4,,05/05/2017,04/05/2018
16/06191/HMOADS,96 East Avenue Oxford Oxfordshire OX4 1XR,4,4,03/03/2017,02/03/2018
17/01105/HMOADS,52 East Avenue Oxford Oxfordshire OX4 1XP,4,,21/05/2017,21/05/2019
17/01267/HMOLIC,21 East Avenue Oxford Oxfordshire OX4 1XP,7,7,25/06/2017,24/06/2018
17/01292/HMOADS,33 East Avenue Oxford Oxfordshire OX4 1XP,4,4,06/06/2017,05/06/2019
17/01374/HMOADS,73 East Avenue Oxford Oxfordshire OX4 1XR,4,,24/06/2017,23/06/2018
17/02724/HMOLIC,7 East Avenue Oxford Oxfordshire OX4 1XW,5,5,29/08/2017,28/08/2018
17/00361/HMOADS,17 East Avenue Oxford Oxfordshire OX4 1XP,4,,09/02/2017,08/02/2018
16/03936/HMOADS,11 East Avenue Oxford Oxfordshire OX4 1XP,4,4,19/09/2016,19/11/2017
16/05162/HMOADS,57 East Avenue Oxford Oxfordshire OX4 1XP,4,4,11/12/2016,10/01/2018
16/01365/HMOADL,77 East Avenue Oxford Oxfordshire OX4 1XR,4,,27/02/2017,26/02/2018
16/02639/HMOADS,78 East Avenue Oxford Oxfordshire OX4 1XP,4,,27/01/2017,27/01/2018
16/02988/HMOADS,15 East Avenue Oxford Oxfordshire OX4 1XP,4,4,11/07/2016,11/11/2017
16/03114/HMOADS,6 East Avenue Oxford Oxfordshire OX4 1XW,3,,08/08/2016,08/08/2018
16/03426/HMOLIC,100 East Avenue Oxford Oxfordshire OX4 1XR,6,6,07/08/2016,14/09/2018
17/00213/HMOADS,37 East Avenue Oxford Oxfordshire OX4 1XP,4,4,20/02/2017,20/02/2019
16/03857/HMOADS,84 East Avenue Oxford Oxfordshire OX4 1XR,4,4,10/09/2016,09/02/2018
16/03974/HMOADL,9 East Avenue Oxford Oxfordshire OX4 1XP,3,3,24/09/2016,24/12/2017
16/03978/HMOADS,65 East Avenue Oxford Oxfordshire OX4 1XR,4,,25/09/2016,24/01/2021
16/04176/HMOADL,62 East Avenue Oxford Oxfordshire OX4 1XP,4,3,27/04/2016,27/04/2018
16/04227/HMOLIC,41 East Avenue Oxford OX4 1XP,5,,13/10/2016,12/01/2018
16/04330/HMOLIC,2 East Avenue Oxford Oxfordshire OX4 1XW,7,,09/02/2017,09/02/2018
16/04341/HMOLIC,74 East Avenue Oxford Oxfordshire OX4 1XP,5,5,23/10/2016,23/10/2018
16/04931/HMOADL,3 East Avenue Oxford Oxfordshire OX4 1XW,7,7,25/11/2016,24/01/2018
16/03628/HMOADL,43 East Avenue Oxford Oxfordshire OX4 1XP,6,6,27/08/2016,19/08/2018
16/03626/HMOLIC,46 East Field Close Oxford Oxfordshire OX3 7SH,6,,09/12/2016,09/12/2017
17/01376/HMOADL,14 East Field Close Oxford Oxfordshire OX3 7SH,4,4,27/06/2017,26/06/2018
17/00478/HMOADL,25 East Street Oxford Oxfordshire OX2 0AU,4,,05/05/2017,04/05/2018
17/00023/HMOADS,67 Edgeway Road Oxford Oxfordshire OX3 0HF,4,,03/03/2017,02/03/2018
17/00883/HMOADS,5 Edgeway Road Oxford Oxfordshire OX3 0HD,3,,25/05/2017,24/05/2018
16/06054/HMOADS,8 Edgeway Road Oxford Oxfordshire OX3 0HE,4,,23/02/2017,22/02/2018
16/05825/HMOADS,16 Edgeway Road Oxford Oxfordshire OX3 0HE,4,,30/01/2017,24/01/2021
16/03772/HMOADS,34 Edgeway Road Marston Oxford OX3 0HE,4,,25/08/2016,25/08/2018
16/03587/HMOADS,59 Edgeway Road Oxford Oxfordshire OX3 0HF,4,4,29/08/2016,29/11/2017
16/03570/HMOADL,26 Edgeway Road Oxford Marston Oxfordshire OX3 0HE,5,3,15/08/2016,15/11/2017
16/05040/HMOADS,28 Edith Road Oxford Oxfordshire OX1 4QA,5,5,01/12/2016,01/12/2017
17/00136/HMOLIC,34 Edith Road Oxford Oxfordshire OX1 4QA,6,6,16/03/2017,16/03/2018
16/03334/HMOADS,36 Edith Road Oxford Oxfordshire OX1 4QA,4,,29/07/2016,29/11/2017
17/00513/HMOADS,8 Eleanor Close Oxford Oxfordshire OX4 3ND,5,4,16/04/2017,15/04/2018
16/03656/HMOADL,4 Elms Drive Oxford Oxfordshire OX3 0NJ,5,4,28/08/2016,28/11/2017
16/03942/HMOADL,57 Elms Drive Oxford Oxfordshire OX3 0NW,6,6,22/09/2016,22/11/2017
17/00295/HMOADL,10 Elton Close Oxford Oxfordshire OX3 8FL,4,,31/03/2017,30/03/2018
17/00344/HMOADL,14 Elton Close Oxford Oxfordshire OX3 8FL,4,,31/03/2017,30/03/2018
16/04600/HMOADS,70 Essex Street Oxford Oxfordshire OX4 3AW,4,4,27/11/2016,24/01/2021
17/01157/HMOLIC,15 Essex Street Oxford Oxfordshire OX4 3AW,6,,27/05/2017,26/05/2018
17/00056/HMOADS,17 Essex Street Oxford Oxfordshire OX4 3AW,4,4,04/03/2017,03/03/2019
17/00053/HMOADS,16 Essex Street Oxford Oxfordshire OX4 3AW,4,4,28/02/2017,27/02/2019
16/05276/HMOLIC,8 Essex Street Oxford Oxfordshire OX4 3AW,9,,17/12/2016,17/12/2017
16/04738/HMOADS,21 Essex Street Oxford OX4 3AW,4,,13/03/2017,12/03/2018
16/04596/HMOADS,33 Essex Street Oxford Oxfordshire OX4 3AW,3,4,19/11/2016,19/11/2018
16/03930/HMOADL,62 Essex Street Oxford Oxfordshire OX4 3AW,5,,19/09/2016,19/09/2017
16/02658/HMOADS,35 Essex Street Oxford Oxfordshire OX4 3AW,4,4,29/06/2016,29/09/2017
15/03321/HMOLIC,67 Essex Street Oxford Oxfordshire OX4 3AW,5,5,21/10/2016,21/10/2017
16/05235/HMOADS,39 Essex Street Oxford Oxfordshire OX4 3AW,4,,17/12/2016,16/01/2018
16/02167/HMOADS,72 Essex Street Oxford Oxfordshire OX4 3AW,4,4,05/06/2016,24/01/2021
16/03779/HMOADL,26 Essex Street Oxford Oxfordshire OX4 3AW,5,,05/09/2016,24/01/2021
16/02761/HMOADL,5 Essex Street Oxford Oxfordshire OX4 3AW,5,,10/08/2016,24/01/2021
16/03001/HMOLIC,45 Essex Street Oxford Oxfordshire OX4 3AW,5,5,20/08/2016,19/08/2018
16/03099/HMOADS,37 Essex Street Oxford Oxfordshire OX4 3AW,4,,14/07/2016,14/07/2018
16/03576/HMOLIC,6 Essex Street Oxford Oxfordshire OX4 3AW,5,5,23/08/2016,23/11/2017
17/01324/HMOADS,2 Eyot Place Oxford Oxfordshire OX4 1SA,4,4,06/06/2017,07/06/2019
16/05217/HMOADL,13 Fair View Oxford Oxfordshire OX3 7EZ,6,,23/02/2017,22/02/2018
16/04721/HMOLIC,10 Fairacres Road Oxford Oxfordshire OX4 1TE,6,6,07/11/2016,06/01/2018
16/03730/HMOLIC,23 Fairacres Road Oxford Oxfordshire OX4 1TH,5,5,14/06/2017,13/06/2018
16/05786/HMOADL,34 Fairacres Road Oxford Oxfordshire OX4 1TF,5,5,29/01/2017,29/01/2018
16/05538/HMOLIC,14 Fairacres Road Oxford Oxfordshire OX4 1TE,5,5,12/01/2017,12/01/2018
16/04814/HMOLIC,93 Fairacres Road Oxford Oxfordshire OX4 1TQ,6,6,11/11/2016,11/11/2018
16/02765/HMOLIC,19 Fairacres Road Oxford Oxfordshire OX4 1TH,5,,10/08/2016,10/08/2021
16/03812/HMOADS,83 Fairacres Road Oxford Oxfordshire OX4 1TQ,4,,06/09/2016,06/11/2017
16/04589/HMOADL,43 Fairacres Road Oxford Oxfordshire OX4 1TH,5,5,24/10/2016,24/01/2021
16/04037/HMOADL,53 Fairacres Road Oxford Oxfordshire OX4 1TH,4,4,26/09/2016,26/11/2017
16/00214/HMOADS,4 Fairlie Road Oxford OX4 3SW,5,,06/03/2016,06/03/2018
16/01719/HMOLIC,2 Fairlie Road Oxford OX4 3SW,6,4,21/05/2016,21/05/2018
16/05039/HMOADL,28 Fairlie Road Oxford Oxfordshire OX4 3SW,7,,02/12/2016,02/03/2018
16/05123/HMOADS,26 Fairlie Road Oxford Oxfordshire OX4 3SW,5,,08/02/2017,08/02/2018
16/05717/HMOADL,11 Fairlie Road Oxford Oxfordshire OX4 3SW,5,4,21/01/2017,21/01/2019
16/03147/HMOADS,18 Farmer Place Oxford Oxfordshire OX3 0LB,3,,18/07/2016,18/10/2017
17/00897/HMOADL,31 Faulkner Street Oxford Oxfordshire OX1 1UA,4,4,26/04/2017,25/04/2018
16/04497/HMOADS,29 Faulkner Street Oxford Oxfordshire OX1 1UA,4,,24/10/2016,24/10/2018
16/04264/HMOADS,36 Faulkner Street Oxford Oxfordshire OX1 1UA,3,,13/10/2016,13/10/2018
16/04196/HMOADL,28 Faulkner Street Oxford Oxfordshire OX1 1UA,4,,08/10/2016,08/10/2018
16/04260/HMOADS,25 Faulkner Street Oxford Oxfordshire OX1 1UA,4,,13/10/2016,13/10/2018
16/04455/HMOADS,138 Fern Hill Road Oxford Oxfordshire OX4 2JP,4,4,15/10/2016,14/02/2018
16/03436/HMOLIC,156 Fern Hill Road Oxford Oxfordshire OX4 2JR,4,,09/08/2016,09/03/2018
16/06162/HMOADL,27 Fern Hill Road Oxford OX4 2JN,6,,28/03/2017,27/03/2018
16/03891/HMOADS,108 Fern Hill Road Oxford Oxfordshire OX4 2JP,4,5,12/09/2016,11/09/2018
16/03680/HMOADL,2 Fern Hill Road Oxford Oxfordshire OX4 2JN,5,,24/05/2017,23/05/2018
16/02216/HMOADL,125 Fern Hill Road Oxford Oxfordshire OX4 2JR,6,,10/06/2016,10/06/2018
16/00264/HMOADL,111 Fern Hill Road Oxford Oxfordshire OX4 2JR,6,,13/03/2016,13/11/2017
15/01550/HMOADL,4 Fern Hill Road Oxford Oxfordshire OX4 2JN,5,,08/12/2016,08/12/2017
15/02919/HMOADL,184A Fern Hill Road Oxford Oxfordshire OX4 2JR,8,,04/04/2017,03/04/2018
17/02751/HMOADL,110 Fern Hill Road Oxford Oxfordshire OX4 2JP,5,5,26/08/2017,25/08/2018
16/02654/HMOADL,135 Fern Hill Road Oxford Oxfordshire OX4 2JR,5,,25/06/2016,25/11/2017
16/01729/HMOADL,12 Ferry Hinksey Road Oxford Oxfordshire,4,,24/04/2017,23/04/2018
17/00420/HMOADS,2 Ferry Hinksey Road Oxford Oxfordshire OX2 0BY,4,4,02/04/2017,24/01/2021
16/02738/HMOADS,35 Ferry Road Oxford Oxfordshire OX3 0EU,4,,11/01/2017,11/01/2018
16/04065/HMOLIC,49 Ferry Road Oxford Oxfordshire,5,5,09/10/2016,08/10/2021
17/00207/HMOADS,119 Ferry Road Oxford Oxfordshire OX3 0EX,4,,18/03/2017,17/03/2018
17/02344/HMOADS,30 Ferry Road Oxford Marston Oxfordshire OX3 0ET,5,,26/07/2017,27/07/2018
16/03870/HMOADL,19 Fettiplace Road Headington Oxford OX3 9LJ,4,4,10/09/2016,10/01/2018
16/03309/HMOADL,1 Finch Close Oxford Oxfordshire OX3 7NX,5,5,13/08/2016,30/09/2017
16/02579/HMOADS,1 Fletcher Road Oxford Oxfordshire OX4 2UE,3,,08/08/2016,24/01/2021
17/00426/HMOADL,17 Fletcher Road Oxford Oxfordshire OX4 2UF,5,,08/04/2017,07/04/2018
16/02258/HMOADS,1A Fletcher Road Oxford Oxfordshire OX4 2UE,3,,10/06/2016,24/01/2021
16/03873/HMOADS,2 Flexney Place Oxford Oxfordshire OX3 7NN,4,,10/09/2016,24/07/2018
16/03639/HMOADL,12 Fox Crescent Oxford Oxfordshire OX1 4UX,15,10,30/08/2016,28/02/2018
16/04368/HMOLIC,15 Foxglove Close Oxford Oxfordshire OX4 7ZB,6,,17/02/2017,16/02/2018
16/03549/HMOADL,31 Franklin Road Oxford Oxfordshire OX3 7SB,4,5,18/08/2016,17/03/2018
16/03985/HMOADS,3 Franklin Road Oxford Oxfordshire OX3 7RZ,4,,26/09/2016,26/09/2018
16/05713/HMOADL,25 Franklin Road Oxford Oxfordshire OX3 7SB,5,5,21/01/2017,21/01/2018
17/01773/HMOADL,33 Franklin Road Oxford Oxfordshire OX3 7SB,5,,16/07/2017,15/07/2018
16/04200/HMOADL,76 Freelands Road Oxford Oxfordshire OX4 4BT,5,,15/10/2016,06/08/2018
17/03656/HMOADS,18 Freelands Road Oxford Oxfordshire OX4 4BT,5,,19/07/2017,24/01/2021
16/01643/HMOADL,5 Freelands Road Oxford OX4 4BT,5,,08/12/2016,08/12/2017
17/01325/HMOADS,64 Friars Wharf Oxford Oxfordshire OX1 1RU,4,,10/06/2017,09/06/2018
16/03253/HMOADS,37 Gaisford Road Oxford Oxfordshire OX4 3LH,4,,22/03/2017,21/03/2018
16/04017/HMOADL,47 Gaisford Road Oxford Oxfordshire OX4 3LH,7,,24/09/2016,24/09/2017
16/02678/HMOADL,19B Gardiner Street Oxford Oxfordshire OX3 7AW,4,4,21/08/2016,24/01/2021
16/03159/HMOADL,10 Gardiner Street Oxford Oxfordshire OX3 7AW,5,5,24/07/2016,24/09/2017
16/03278/HMOADS,51 Gardiner Street Oxford Headington Oxfordshire OX3 7AW,5,,24/07/2016,24/09/2017
16/03410/HMOADL,53 Gardiner Street Oxford Oxfordshire OX3 7AW,5,5,06/08/2016,06/10/2017
16/03944/HMOLIC,2A Gardiner Street Oxford Oxfordshire OX3 7AW,6,6,23/09/2016,23/09/2017
16/04044/HMOADL,3 Gardiner Street Oxford Oxfordshire OX3 7AW,5,,27/09/2016,27/09/2017
16/04217/HMOADS,35 Gardiner Street Oxford Oxfordshire OX3 7AW,4,4,10/10/2016,10/10/2018
17/00255/HMOADS,34 Garsington Road Oxford Oxfordshire OX4 2LG,6,,23/03/2017,22/03/2018
16/04084/HMOADS,30 Garsington Road Oxford Oxfordshire OX4 2LG,4,,29/09/2016,29/09/2017
16/04785/HMOADS,11 George Moore Close Oxford Oxfordshire OX4 4BZ,4,,10/11/2016,10/06/2018
16/05850/HMOADS,22 George Moore Close Oxford Oxfordshire OX4 4BZ,4,,01/02/2017,01/02/2018
17/00638/HMOADS,12A Gerard Place Oxford Oxfordshire OX4 3HD,4,,26/04/2017,25/04/2018
16/04758/HMOADS,59 Gipsy Lane Oxford Oxfordshire OX3 7PU,4,4,10/11/2016,09/01/2018
17/00893/HMOADS,83 Gipsy Lane Oxford Oxfordshire OX3 7PU,4,4,06/05/2017,05/05/2019
17/02655/HMOADS,45 Gipsy Lane Oxford Headington Oxfordshire OX3 7PT,4,4,22/08/2017,21/08/2018
