unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"50F3B273-3311-4A6B-9BCA-443B41857E96","376000","2015-01-16","OX2 8NR","T","N","F","","107","HAREFIELDS","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/50F3B273-3311-4A6B-9BCA-443B41857E96/current"
"0DF7324C-99A5-4ECE-8F48-1EFE51409B95","175000","2015-03-13","OX2 8NR","T","N","F","","127","HAREFIELDS","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/0DF7324C-99A5-4ECE-8F48-1EFE51409B95/current"
"3579511A-FFA2-4500-A8E2-E67963EB5B00","285500","2015-07-06","OX2 8NR","T","N","F","","133","HAREFIELDS","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3579511A-FFA2-4500-A8E2-E67963EB5B00/current"
"987D0D8E-7022-4EAD-9990-ADA36B91BBB7","390101","2015-02-06","OX2 8NS","T","N","F","","10","HAREFIELDS","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/987D0D8E-7022-4EAD-9990-ADA36B91BBB7/current"
"2B65303D-B7CA-42C8-ABB1-C60C8A33EA9C","265000","2015-04-27","OX2 8NT","T","N","F","","28","MARRIOTT CLOSE","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2B65303D-B7CA-42C8-ABB1-C60C8A33EA9C/current"
"25EA59FA-125E-4D50-E050-A8C0630562D0","550000","2015-10-30","OX2 8NU","S","N","F","","38","ROSAMUND ROAD","WOLVERCOTE","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/25EA59FA-125E-4D50-E050-A8C0630562D0/current"
"AD2C8D03-9ECE-42BC-B3B2-473149A2B23A","615000","2015-06-30","OX2 8NY","T","N","F","","62","GODSTOW ROAD","WOLVERCOTE","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/AD2C8D03-9ECE-42BC-B3B2-473149A2B23A/current"
"DFD9B31B-94E5-4D5F-AC64-496A4E6397C3","470000","2015-07-17","OX2 8PA","T","N","F","","45","ELMTHORPE ROAD","WOLVERCOTE","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/DFD9B31B-94E5-4D5F-AC64-496A4E6397C3/current"
"273F74E2-E0F1-4886-97CB-53FD7D292470","485000","2015-07-08","OX2 8PF","S","N","F","","105","GODSTOW ROAD","WOLVERCOTE","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/273F74E2-E0F1-4886-97CB-53FD7D292470/current"
"0313B1CD-6E5F-493D-81BA-D0BAF01E6D62","450000","2015-06-11","OX2 8PG","T","N","F","","146","GODSTOW ROAD","WOLVERCOTE","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/0313B1CD-6E5F-493D-81BA-D0BAF01E6D62/current"
"725413C0-2D18-47F1-AD57-1837F4897E03","698500","2015-04-10","OX2 8PP","S","N","F","","47","MEADOW PROSPECT","WOLVERCOTE","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/725413C0-2D18-47F1-AD57-1837F4897E03/current"
