unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"2AC10E4F-E8E5-1AF6-E050-A8C063052BA1","545000","2016-01-11","OX1 1AY","F","N","L","39","OXFORD CASTLE","NEW ROAD","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2AC10E4F-E8E5-1AF6-E050-A8C063052BA1/current"
"369DFB16-1778-3A19-E050-A8C0620518C6","385000","2016-06-13","OX1 1AY","F","N","L","8","OXFORD CASTLE","NEW ROAD","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/369DFB16-1778-3A19-E050-A8C0620518C6/current"
"47844C80-C048-8986-E050-A8C063056488","14250","2016-11-29","OX1 1EJ","O","N","L","","9 - 10","QUEEN STREET","","OXFORD","OXFORD","OXFORDSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/47844C80-C048-8986-E050-A8C063056488/current"
"4C4EE000-5391-1854-E050-A8C063054F34","5870000","2016-12-01","OX1 1ER","O","N","F","","30","QUEEN STREET","","OXFORD","OXFORD","OXFORDSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/4C4EE000-5391-1854-E050-A8C063054F34/current"
"4C4EE000-53FF-1854-E050-A8C063054F34","5870000","2016-12-01","OX1 1ER","O","N","L","","32","QUEEN STREET","","OXFORD","OXFORD","OXFORDSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/4C4EE000-53FF-1854-E050-A8C063054F34/current"
"49B7852A-6129-7921-E050-A8C063056E8D","550000","2016-11-11","OX1 1HF","F","N","L","APARTMENT 12","EMPRESS COURT","WOODINS WAY","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/49B7852A-6129-7921-E050-A8C063056E8D/current"
"2D1E4B26-AEE6-FCD1-E050-A8C0630544EC","382000","2016-02-04","OX1 1HF","F","N","L","APARTMENT 24","EMPRESS COURT","WOODINS WAY","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2D1E4B26-AEE6-FCD1-E050-A8C0630544EC/current"
"3E0330F0-3484-8D89-E050-A8C062052140","510000","2016-08-24","OX1 1HF","F","N","L","APARTMENT 34","EMPRESS COURT","WOODINS WAY","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3E0330F0-3484-8D89-E050-A8C062052140/current"
"3B7E0B90-48DB-EA99-E050-A8C062057E77","375000","2016-08-16","OX1 1HG","F","N","L","APARTMENT 162","EMPRESS COURT","WOODINS WAY","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3B7E0B90-48DB-EA99-E050-A8C062057E77/current"
"2FD36065-EA11-4BF8-E050-A8C0620562B1","380000","2016-03-16","OX1 1HG","F","N","L","APARTMENT 80","EMPRESS COURT","WOODINS WAY","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2FD36065-EA11-4BF8-E050-A8C0620562B1/current"
